wine_no,taster_name,taster_twitter
28766,Virginie Boone,@vboone
28767,Anne Krebiehl MW,@AnneInVino
28768,Matt Kettmann,@mattkettmann
28769,Jim Gordon,@gordone_cellars
28770,Virginie Boone,@vboone
28771,Sean P. Sullivan,@wawinereport
28772,Sean P. Sullivan,@wawinereport
28773,Matt Kettmann,@mattkettmann
28774,Virginie Boone,@vboone
28775,Jim Gordon,@gordone_cellars
28776,Kerin O’Keefe,@kerinokeefe
28777,Matt Kettmann,@mattkettmann
28778,Matt Kettmann,@mattkettmann
28779,Sean P. Sullivan,@wawinereport
28780,Jim Gordon,@gordone_cellars
28781,Roger Voss,@vossroger
28782,Joe Czerwinski,@JoeCz
28783,Anna Lee C. Iijima,
28784,Paul Gregutt,@paulgwine 
28786,Michael Schachner,@wineschach
28787,Virginie Boone,@vboone
28788,Virginie Boone,@vboone
28789,Kerin O’Keefe,@kerinokeefe
28790,Kerin O’Keefe,@kerinokeefe
28791,Paul Gregutt,@paulgwine 
28792,Roger Voss,@vossroger
28793,Matt Kettmann,@mattkettmann
28794,Matt Kettmann,@mattkettmann
28795,Michael Schachner,@wineschach
28796,Virginie Boone,@vboone
28797,Kerin O’Keefe,@kerinokeefe
28798,Roger Voss,@vossroger
28799,Kerin O’Keefe,@kerinokeefe
28800,Kerin O’Keefe,@kerinokeefe
28801,Kerin O’Keefe,@kerinokeefe
28802,Matt Kettmann,@mattkettmann
28803,Virginie Boone,@vboone
28804,Virginie Boone,@vboone
28805,Virginie Boone,@vboone
28806,Roger Voss,@vossroger
28807,Kerin O’Keefe,@kerinokeefe
28808,Virginie Boone,@vboone
28809,Paul Gregutt,@paulgwine 
28810,Virginie Boone,@vboone
28811,Virginie Boone,@vboone
28812,Roger Voss,@vossroger
28813,Roger Voss,@vossroger
28814,Virginie Boone,@vboone
28815,Roger Voss,@vossroger
28816,Roger Voss,@vossroger
28817,Matt Kettmann,@mattkettmann
28818,Roger Voss,@vossroger
28819,Roger Voss,@vossroger
28820,Virginie Boone,@vboone
28821,Anna Lee C. Iijima,
28822,Lauren Buzzeo,@laurbuzz
28823,Matt Kettmann,@mattkettmann
28824,Jim Gordon,@gordone_cellars
28825,Anna Lee C. Iijima,
28826,Matt Kettmann,@mattkettmann
28827,Virginie Boone,@vboone
28828,Roger Voss,@vossroger
28829,Roger Voss,@vossroger
28830,Michael Schachner,@wineschach
28831,Roger Voss,@vossroger
28832,Roger Voss,@vossroger
28833,Anna Lee C. Iijima,
28834,Roger Voss,@vossroger
28835,Michael Schachner,@wineschach
28836,Michael Schachner,@wineschach
28837,Kerin O’Keefe,@kerinokeefe
28838,Virginie Boone,@vboone
28839,Roger Voss,@vossroger
28840,Kerin O’Keefe,@kerinokeefe
28841,Virginie Boone,@vboone
28842,Virginie Boone,@vboone
28843,Sean P. Sullivan,@wawinereport
28844,Matt Kettmann,@mattkettmann
28845,Roger Voss,@vossroger
28846,Kerin O’Keefe,@kerinokeefe
28847,Roger Voss,@vossroger
28848,Kerin O’Keefe,@kerinokeefe
28849,Paul Gregutt,@paulgwine 
28850,Roger Voss,@vossroger
28851,Kerin O’Keefe,@kerinokeefe
28852,Sean P. Sullivan,@wawinereport
28853,Paul Gregutt,@paulgwine 
28854,Matt Kettmann,@mattkettmann
28855,Roger Voss,@vossroger
28856,Roger Voss,@vossroger
28857,Roger Voss,@vossroger
28858,Paul Gregutt,@paulgwine 
28859,Michael Schachner,@wineschach
28860,Virginie Boone,@vboone
28861,Sean P. Sullivan,@wawinereport
28862,Roger Voss,@vossroger
28864,Michael Schachner,@wineschach
28865,Kerin O’Keefe,@kerinokeefe
28866,Kerin O’Keefe,@kerinokeefe
28867,Michael Schachner,@wineschach
28868,Kerin O’Keefe,@kerinokeefe
28869,Michael Schachner,@wineschach
28870,Sean P. Sullivan,@wawinereport
28871,Kerin O’Keefe,@kerinokeefe
28872,Joe Czerwinski,@JoeCz
28873,Sean P. Sullivan,@wawinereport
28874,Anna Lee C. Iijima,
28875,Kerin O’Keefe,@kerinokeefe
28876,Matt Kettmann,@mattkettmann
28877,Michael Schachner,@wineschach
28878,Kerin O’Keefe,@kerinokeefe
28879,Kerin O’Keefe,@kerinokeefe
28880,Kerin O’Keefe,@kerinokeefe
28881,Kerin O’Keefe,@kerinokeefe
28882,Kerin O’Keefe,@kerinokeefe
28883,Kerin O’Keefe,@kerinokeefe
28884,Roger Voss,@vossroger
28885,Roger Voss,@vossroger
28886,Roger Voss,@vossroger
28887,Joe Czerwinski,@JoeCz
28888,Matt Kettmann,@mattkettmann
28889,Sean P. Sullivan,@wawinereport
28890,Kerin O’Keefe,@kerinokeefe
28891,Virginie Boone,@vboone
28892,Anna Lee C. Iijima,
28893,Virginie Boone,@vboone
28894,Kerin O’Keefe,@kerinokeefe
28895,Kerin O’Keefe,@kerinokeefe
28896,Roger Voss,@vossroger
28897,Anna Lee C. Iijima,
28898,Kerin O’Keefe,@kerinokeefe
28899,Matt Kettmann,@mattkettmann
28900,,
28901,Michael Schachner,@wineschach
28902,Michael Schachner,@wineschach
28903,Virginie Boone,@vboone
28904,Michael Schachner,@wineschach
28905,,
28906,Michael Schachner,@wineschach
28907,Michael Schachner,@wineschach
28908,Michael Schachner,@wineschach
28909,Michael Schachner,@wineschach
28910,,
28911,,
28912,,
28913,Michael Schachner,@wineschach
28914,,
28915,Roger Voss,@vossroger
28916,Paul Gregutt,@paulgwine 
28917,,
28918,,
28919,Anna Lee C. Iijima,
28920,Michael Schachner,@wineschach
28921,,
28922,,
28923,,
28924,Michael Schachner,@wineschach
28925,,
28926,Michael Schachner,@wineschach
28927,,
28928,Michael Schachner,@wineschach
28929,Roger Voss,@vossroger
28930,Anne Krebiehl MW,@AnneInVino
28931,Anna Lee C. Iijima,
28932,Paul Gregutt,@paulgwine 
28933,Jim Gordon,@gordone_cellars
28934,Jim Gordon,@gordone_cellars
28935,Jim Gordon,@gordone_cellars
28936,Jim Gordon,@gordone_cellars
28937,Kerin O’Keefe,@kerinokeefe
28938,Kerin O’Keefe,@kerinokeefe
28939,Virginie Boone,@vboone
28940,Matt Kettmann,@mattkettmann
28941,Matt Kettmann,@mattkettmann
29055,,
28942,Virginie Boone,@vboone
28943,Paul Gregutt,@paulgwine 
28944,Kerin O’Keefe,@kerinokeefe
28945,Kerin O’Keefe,@kerinokeefe
28946,Jim Gordon,@gordone_cellars
28947,Michael Schachner,@wineschach
28948,Paul Gregutt,@paulgwine 
28949,Paul Gregutt,@paulgwine 
28950,Anne Krebiehl MW,@AnneInVino
28951,Paul Gregutt,@paulgwine 
28952,Anna Lee C. Iijima,
28953,Anne Krebiehl MW,@AnneInVino
28954,Anna Lee C. Iijima,
28955,Matt Kettmann,@mattkettmann
28956,Virginie Boone,@vboone
28957,Matt Kettmann,@mattkettmann
28958,Michael Schachner,@wineschach
28959,Michael Schachner,@wineschach
28960,Roger Voss,@vossroger
28961,Michael Schachner,@wineschach
28962,Michael Schachner,@wineschach
28963,,
28964,,
28965,Michael Schachner,@wineschach
28966,Michael Schachner,@wineschach
28967,,
28968,Roger Voss,@vossroger
28969,,
28970,,
28971,Michael Schachner,@wineschach
28972,,
28973,Roger Voss,@vossroger
28974,Roger Voss,@vossroger
28975,Roger Voss,@vossroger
28976,Roger Voss,@vossroger
28977,Roger Voss,@vossroger
29056,,
28978,Michael Schachner,@wineschach
28979,Roger Voss,@vossroger
28980,Virginie Boone,@vboone
28981,Roger Voss,@vossroger
28982,Michael Schachner,@wineschach
28983,Roger Voss,@vossroger
28984,Jim Gordon,@gordone_cellars
28985,Roger Voss,@vossroger
28986,Roger Voss,@vossroger
28987,Roger Voss,@vossroger
28988,Roger Voss,@vossroger
28989,Roger Voss,@vossroger
28990,Roger Voss,@vossroger
28991,Sean P. Sullivan,@wawinereport
28992,Sean P. Sullivan,@wawinereport
28993,Michael Schachner,@wineschach
28994,Virginie Boone,@vboone
28995,Virginie Boone,@vboone
28996,Virginie Boone,@vboone
28997,Michael Schachner,@wineschach
28998,Michael Schachner,@wineschach
28999,Michael Schachner,@wineschach
29000,Roger Voss,@vossroger
29001,Sean P. Sullivan,@wawinereport
29002,Kerin O’Keefe,@kerinokeefe
29003,Roger Voss,@vossroger
29004,Roger Voss,@vossroger
29005,Roger Voss,@vossroger
29006,Michael Schachner,@wineschach
29007,Sean P. Sullivan,@wawinereport
29008,Roger Voss,@vossroger
29009,Paul Gregutt,@paulgwine 
29010,Michael Schachner,@wineschach
29011,,
29012,,
29013,Anna Lee C. Iijima,
29014,,
29015,,
29016,,
29017,,
29018,Joe Czerwinski,@JoeCz
29019,,
29020,Joe Czerwinski,@JoeCz
29021,Anna Lee C. Iijima,
29022,Joe Czerwinski,@JoeCz
29023,Anna Lee C. Iijima,
29024,Joe Czerwinski,@JoeCz
29025,,
29026,Roger Voss,@vossroger
29027,,
29028,Virginie Boone,@vboone
29029,Paul Gregutt,@paulgwine 
29030,Roger Voss,@vossroger
29031,,
29032,Roger Voss,@vossroger
29033,,
29034,,
29035,,
29036,Michael Schachner,@wineschach
29037,,
29038,,
29039,Lauren Buzzeo,@laurbuzz
29040,,
29041,,
29042,,
29043,Lauren Buzzeo,@laurbuzz
29044,Michael Schachner,@wineschach
29045,Anna Lee C. Iijima,
29046,Paul Gregutt,@paulgwine 
29047,Michael Schachner,@wineschach
29048,,
29049,Paul Gregutt,@paulgwine 
29050,Paul Gregutt,@paulgwine 
29051,,
29052,,
29053,Paul Gregutt,@paulgwine 
29054,,
29057,,
29058,Paul Gregutt,@paulgwine 
29059,,
29060,,
29061,,
29062,,
29063,,
29064,,
29065,,
29066,Michael Schachner,@wineschach
29067,Michael Schachner,@wineschach
29068,Anna Lee C. Iijima,
29069,Michael Schachner,@wineschach
29070,Michael Schachner,@wineschach
29071,Joe Czerwinski,@JoeCz
29072,Michael Schachner,@wineschach
29073,Michael Schachner,@wineschach
29074,Michael Schachner,@wineschach
29075,Michael Schachner,@wineschach
29182,Paul Gregutt,@paulgwine 
29076,Anna Lee C. Iijima,
29077,,
29078,Paul Gregutt,@paulgwine 
29079,Roger Voss,@vossroger
29080,Roger Voss,@vossroger
29081,Roger Voss,@vossroger
29082,Sean P. Sullivan,@wawinereport
29083,Roger Voss,@vossroger
29084,Anne Krebiehl MW,@AnneInVino
29085,Anna Lee C. Iijima,
29086,Anne Krebiehl MW,@AnneInVino
29087,Anna Lee C. Iijima,
29088,Joe Czerwinski,@JoeCz
29089,Virginie Boone,@vboone
29090,Anna Lee C. Iijima,
29091,Anna Lee C. Iijima,
29092,Anne Krebiehl MW,@AnneInVino
29093,Anne Krebiehl MW,@AnneInVino
29094,Anne Krebiehl MW,@AnneInVino
29095,Sean P. Sullivan,@wawinereport
29096,Matt Kettmann,@mattkettmann
29097,Sean P. Sullivan,@wawinereport
29098,Sean P. Sullivan,@wawinereport
29099,Sean P. Sullivan,@wawinereport
29100,Anne Krebiehl MW,@AnneInVino
29101,Anne Krebiehl MW,@AnneInVino
29102,Sean P. Sullivan,@wawinereport
29103,Michael Schachner,@wineschach
29104,Sean P. Sullivan,@wawinereport
29105,Anne Krebiehl MW,@AnneInVino
29106,Michael Schachner,@wineschach
29107,Anne Krebiehl MW,@AnneInVino
29108,Virginie Boone,@vboone
29109,Michael Schachner,@wineschach
29110,Anna Lee C. Iijima,
29111,Kerin O’Keefe,@kerinokeefe
29112,Mike DeSimone,@worldwineguys
29113,Kerin O’Keefe,@kerinokeefe
29114,Jim Gordon,@gordone_cellars
29115,Kerin O’Keefe,@kerinokeefe
29116,Kerin O’Keefe,@kerinokeefe
29117,Anna Lee C. Iijima,
29118,Anna Lee C. Iijima,
29119,Anna Lee C. Iijima,
29120,Roger Voss,@vossroger
29121,Kerin O’Keefe,@kerinokeefe
29122,Matt Kettmann,@mattkettmann
29123,Kerin O’Keefe,@kerinokeefe
29124,Kerin O’Keefe,@kerinokeefe
29125,Matt Kettmann,@mattkettmann
29126,Kerin O’Keefe,@kerinokeefe
29127,Kerin O’Keefe,@kerinokeefe
29128,Mike DeSimone,@worldwineguys
29129,Michael Schachner,@wineschach
29130,Michael Schachner,@wineschach
29131,Anna Lee C. Iijima,
29132,Anna Lee C. Iijima,
29133,Roger Voss,@vossroger
29134,Anna Lee C. Iijima,
29135,Kerin O’Keefe,@kerinokeefe
29136,Matt Kettmann,@mattkettmann
29137,Roger Voss,@vossroger
29138,Matt Kettmann,@mattkettmann
29139,Paul Gregutt,@paulgwine 
29140,Roger Voss,@vossroger
29141,Roger Voss,@vossroger
29142,Roger Voss,@vossroger
29143,,
29144,,
29145,Roger Voss,@vossroger
29146,Roger Voss,@vossroger
29234,Roger Voss,@vossroger
29147,Michael Schachner,@wineschach
29148,Michael Schachner,@wineschach
29149,,
29150,,
29151,,
29152,Paul Gregutt,@paulgwine 
29153,Roger Voss,@vossroger
29154,Virginie Boone,@vboone
29155,Roger Voss,@vossroger
29156,Paul Gregutt,@paulgwine 
29157,Michael Schachner,@wineschach
29158,Michael Schachner,@wineschach
29159,Paul Gregutt,@paulgwine 
29160,,
29161,Virginie Boone,@vboone
29162,,
29163,Roger Voss,@vossroger
29164,Paul Gregutt,@paulgwine 
29165,Paul Gregutt,@paulgwine 
29166,Paul Gregutt,@paulgwine 
29167,Paul Gregutt,@paulgwine 
29168,Virginie Boone,@vboone
29169,Paul Gregutt,@paulgwine 
29170,Kerin O’Keefe,@kerinokeefe
29171,Paul Gregutt,@paulgwine 
29172,Michael Schachner,@wineschach
29173,Virginie Boone,@vboone
29174,Paul Gregutt,@paulgwine 
29175,Roger Voss,@vossroger
29176,Jim Gordon,@gordone_cellars
29177,Anna Lee C. Iijima,
29178,Matt Kettmann,@mattkettmann
29179,Roger Voss,@vossroger
29180,Paul Gregutt,@paulgwine 
29181,Roger Voss,@vossroger
29183,Michael Schachner,@wineschach
29184,Kerin O’Keefe,@kerinokeefe
29185,Roger Voss,@vossroger
29186,Roger Voss,@vossroger
29187,Paul Gregutt,@paulgwine 
29188,Michael Schachner,@wineschach
29189,Kerin O’Keefe,@kerinokeefe
29190,Kerin O’Keefe,@kerinokeefe
29191,Anna Lee C. Iijima,
29192,Jim Gordon,@gordone_cellars
29193,Michael Schachner,@wineschach
29194,Paul Gregutt,@paulgwine 
29195,Michael Schachner,@wineschach
29196,,
29197,Roger Voss,@vossroger
29198,Paul Gregutt,@paulgwine 
29199,Paul Gregutt,@paulgwine 
29200,Roger Voss,@vossroger
29201,Paul Gregutt,@paulgwine 
29202,Roger Voss,@vossroger
29203,Virginie Boone,@vboone
29204,Michael Schachner,@wineschach
29205,,
29206,,
29207,Paul Gregutt,@paulgwine 
29208,Anna Lee C. Iijima,
29209,Anna Lee C. Iijima,
29210,Anna Lee C. Iijima,
29211,Roger Voss,@vossroger
29212,Roger Voss,@vossroger
29213,Roger Voss,@vossroger
29214,Michael Schachner,@wineschach
29215,Anna Lee C. Iijima,
29216,Anna Lee C. Iijima,
29217,,
29218,Virginie Boone,@vboone
29219,,
29220,Roger Voss,@vossroger
29221,Roger Voss,@vossroger
29222,Matt Kettmann,@mattkettmann
29223,Michael Schachner,@wineschach
29224,Joe Czerwinski,@JoeCz
29225,Joe Czerwinski,@JoeCz
29226,Virginie Boone,@vboone
29227,Virginie Boone,@vboone
29228,Roger Voss,@vossroger
29229,Roger Voss,@vossroger
29230,Roger Voss,@vossroger
29231,Roger Voss,@vossroger
29232,Virginie Boone,@vboone
29233,Matt Kettmann,@mattkettmann
29235,Paul Gregutt,@paulgwine 
29236,Roger Voss,@vossroger
29237,Michael Schachner,@wineschach
29238,Paul Gregutt,@paulgwine 
29239,Matt Kettmann,@mattkettmann
29240,Roger Voss,@vossroger
29241,Michael Schachner,@wineschach
29242,Michael Schachner,@wineschach
29243,Kerin O’Keefe,@kerinokeefe
29244,Paul Gregutt,@paulgwine 
29245,Roger Voss,@vossroger
29246,Michael Schachner,@wineschach
29247,Paul Gregutt,@paulgwine 
29248,Paul Gregutt,@paulgwine 
29249,Paul Gregutt,@paulgwine 
29250,Kerin O’Keefe,@kerinokeefe
29251,Kerin O’Keefe,@kerinokeefe
29252,Kerin O’Keefe,@kerinokeefe
29253,Sean P. Sullivan,@wawinereport
29254,Lauren Buzzeo,@laurbuzz
29255,,
29256,Virginie Boone,@vboone
29257,Michael Schachner,@wineschach
29258,,
29259,,
29260,Anna Lee C. Iijima,
29261,Kerin O’Keefe,@kerinokeefe
29262,Sean P. Sullivan,@wawinereport
29263,,
29264,Paul Gregutt,@paulgwine 
29265,Kerin O’Keefe,@kerinokeefe
29266,,
29267,Paul Gregutt,@paulgwine 
29268,Paul Gregutt,@paulgwine 
29269,Paul Gregutt,@paulgwine 
29270,,
29271,Paul Gregutt,@paulgwine 
29272,Roger Voss,@vossroger
29273,Paul Gregutt,@paulgwine 
29274,Joe Czerwinski,@JoeCz
29275,,
29276,Anna Lee C. Iijima,
29277,Anna Lee C. Iijima,
29278,,
29279,,
29280,,
29281,Anna Lee C. Iijima,
29282,Sean P. Sullivan,@wawinereport
29283,Jeff Jenssen,@worldwineguys
29284,Jeff Jenssen,@worldwineguys
29285,Kerin O’Keefe,@kerinokeefe
29286,Kerin O’Keefe,@kerinokeefe
29287,Jim Gordon,@gordone_cellars
29288,Sean P. Sullivan,@wawinereport
29289,Sean P. Sullivan,@wawinereport
29290,Roger Voss,@vossroger
29291,Roger Voss,@vossroger
29292,Roger Voss,@vossroger
29293,Kerin O’Keefe,@kerinokeefe
29294,Jim Gordon,@gordone_cellars
29295,Michael Schachner,@wineschach
29296,Anna Lee C. Iijima,
29297,Matt Kettmann,@mattkettmann
29298,Mike DeSimone,@worldwineguys
29299,Virginie Boone,@vboone
29300,Virginie Boone,@vboone
29301,Matt Kettmann,@mattkettmann
29302,Mike DeSimone,@worldwineguys
29303,Sean P. Sullivan,@wawinereport
29304,Michael Schachner,@wineschach
29305,Kerin O’Keefe,@kerinokeefe
29306,Sean P. Sullivan,@wawinereport
29307,Roger Voss,@vossroger
29308,Roger Voss,@vossroger
29309,Roger Voss,@vossroger
29310,Kerin O’Keefe,@kerinokeefe
29311,Kerin O’Keefe,@kerinokeefe
29312,Virginie Boone,@vboone
29313,,
29314,,
29315,Roger Voss,@vossroger
29316,Roger Voss,@vossroger
29317,Paul Gregutt,@paulgwine 
29318,,
29319,,
29320,,
29321,Roger Voss,@vossroger
29322,,
29323,,
29324,Virginie Boone,@vboone
29325,,
29326,,
29327,Roger Voss,@vossroger
29328,Paul Gregutt,@paulgwine 
29329,Roger Voss,@vossroger
29330,Roger Voss,@vossroger
29331,,
29332,,
29333,,
29334,Roger Voss,@vossroger
29335,Paul Gregutt,@paulgwine 
29336,,
29337,Paul Gregutt,@paulgwine 
29338,Paul Gregutt,@paulgwine 
29339,,
29340,Paul Gregutt,@paulgwine 
29341,Paul Gregutt,@paulgwine 
29342,Kerin O’Keefe,@kerinokeefe
29343,Michael Schachner,@wineschach
29344,Michael Schachner,@wineschach
29345,Sean P. Sullivan,@wawinereport
29346,Roger Voss,@vossroger
29347,Kerin O’Keefe,@kerinokeefe
29348,Roger Voss,@vossroger
29349,Roger Voss,@vossroger
29350,Michael Schachner,@wineschach
29351,Roger Voss,@vossroger
29352,Roger Voss,@vossroger
29353,Paul Gregutt,@paulgwine 
29354,Roger Voss,@vossroger
29355,Roger Voss,@vossroger
29356,Roger Voss,@vossroger
29357,Roger Voss,@vossroger
29358,Sean P. Sullivan,@wawinereport
29359,Paul Gregutt,@paulgwine 
29360,Roger Voss,@vossroger
29361,Michael Schachner,@wineschach
29362,Michael Schachner,@wineschach
29363,Jim Gordon,@gordone_cellars
29364,Kerin O’Keefe,@kerinokeefe
29365,Joe Czerwinski,@JoeCz
29366,Paul Gregutt,@paulgwine 
29367,Jim Gordon,@gordone_cellars
29368,Virginie Boone,@vboone
29369,Jim Gordon,@gordone_cellars
29370,Matt Kettmann,@mattkettmann
29371,Jim Gordon,@gordone_cellars
29372,Virginie Boone,@vboone
29373,Matt Kettmann,@mattkettmann
29374,Virginie Boone,@vboone
29375,Kerin O’Keefe,@kerinokeefe
29376,Anne Krebiehl MW,@AnneInVino
29377,Anne Krebiehl MW,@AnneInVino
29378,Roger Voss,@vossroger
29379,Anne Krebiehl MW,@AnneInVino
29380,Kerin O’Keefe,@kerinokeefe
29381,Virginie Boone,@vboone
29382,Kerin O’Keefe,@kerinokeefe
29383,Matt Kettmann,@mattkettmann
29384,Sean P. Sullivan,@wawinereport
29385,Sean P. Sullivan,@wawinereport
29386,Matt Kettmann,@mattkettmann
29387,Matt Kettmann,@mattkettmann
29388,Paul Gregutt,@paulgwine 
29389,Virginie Boone,@vboone
29390,Virginie Boone,@vboone
29391,Virginie Boone,@vboone
29392,Matt Kettmann,@mattkettmann
29393,Matt Kettmann,@mattkettmann
29394,Virginie Boone,@vboone
29395,Matt Kettmann,@mattkettmann
29396,Matt Kettmann,@mattkettmann
29397,Virginie Boone,@vboone
29398,Sean P. Sullivan,@wawinereport
29399,Sean P. Sullivan,@wawinereport
29400,Matt Kettmann,@mattkettmann
29401,Roger Voss,@vossroger
29478,,
29402,Jim Gordon,@gordone_cellars
29403,Michael Schachner,@wineschach
29404,Kerin O’Keefe,@kerinokeefe
29405,Virginie Boone,@vboone
29406,Virginie Boone,@vboone
29407,Anne Krebiehl MW,@AnneInVino
29408,Anne Krebiehl MW,@AnneInVino
29409,Jim Gordon,@gordone_cellars
29410,Kerin O’Keefe,@kerinokeefe
29411,Michael Schachner,@wineschach
29412,Paul Gregutt,@paulgwine 
29413,Kerin O’Keefe,@kerinokeefe
29414,Kerin O’Keefe,@kerinokeefe
29415,Kerin O’Keefe,@kerinokeefe
29416,Michael Schachner,@wineschach
29417,Roger Voss,@vossroger
29418,Roger Voss,@vossroger
29419,Virginie Boone,@vboone
29420,Jim Gordon,@gordone_cellars
29421,Roger Voss,@vossroger
29422,Roger Voss,@vossroger
29423,Roger Voss,@vossroger
29424,Roger Voss,@vossroger
29425,Roger Voss,@vossroger
29426,Roger Voss,@vossroger
29427,Roger Voss,@vossroger
29428,Roger Voss,@vossroger
29429,Roger Voss,@vossroger
29430,Jim Gordon,@gordone_cellars
29431,Jim Gordon,@gordone_cellars
29432,Michael Schachner,@wineschach
29433,Michael Schachner,@wineschach
29434,,
29435,Joe Czerwinski,@JoeCz
29436,Michael Schachner,@wineschach
29437,Paul Gregutt,@paulgwine 
29438,Kerin O’Keefe,@kerinokeefe
29439,,
29440,Kerin O’Keefe,@kerinokeefe
29441,,
29442,Kerin O’Keefe,@kerinokeefe
29443,,
29444,,
29445,,
29446,Joe Czerwinski,@JoeCz
29447,,
29448,Michael Schachner,@wineschach
29449,Kerin O’Keefe,@kerinokeefe
29450,,
29451,Paul Gregutt,@paulgwine 
29452,,
29453,,
29454,Roger Voss,@vossroger
29455,Michael Schachner,@wineschach
29456,Anna Lee C. Iijima,
29457,,
29458,,
29459,,
29460,,
29461,Roger Voss,@vossroger
29462,Michael Schachner,@wineschach
29463,,
29464,,
29465,Paul Gregutt,@paulgwine 
29466,Michael Schachner,@wineschach
29467,Roger Voss,@vossroger
29468,Paul Gregutt,@paulgwine 
29469,Paul Gregutt,@paulgwine 
29470,,
29471,,
29472,Michael Schachner,@wineschach
29473,,
29474,,
29475,Roger Voss,@vossroger
29476,,
29477,Michael Schachner,@wineschach
29479,,
29480,,
29481,,
29482,,
29483,Anna Lee C. Iijima,
29484,Michael Schachner,@wineschach
29485,Anne Krebiehl MW,@AnneInVino
29486,,
29487,Anne Krebiehl MW,@AnneInVino
29488,Susan Kostrzewa,@suskostrzewa
29489,,
29490,,
29491,Anna Lee C. Iijima,
29492,Anna Lee C. Iijima,
29493,Anne Krebiehl MW,@AnneInVino
29494,Anne Krebiehl MW,@AnneInVino
29495,Paul Gregutt,@paulgwine 
29496,Kerin O’Keefe,@kerinokeefe
29497,Michael Schachner,@wineschach
29498,Anne Krebiehl MW,@AnneInVino
29499,Anne Krebiehl MW,@AnneInVino
29500,Anne Krebiehl MW,@AnneInVino
29501,Anna Lee C. Iijima,
29502,Kerin O’Keefe,@kerinokeefe
29503,Anne Krebiehl MW,@AnneInVino
29504,Roger Voss,@vossroger
29505,Michael Schachner,@wineschach
29506,Kerin O’Keefe,@kerinokeefe
29507,,
29508,,
29509,Virginie Boone,@vboone
29510,Paul Gregutt,@paulgwine 
29511,Sean P. Sullivan,@wawinereport
29512,Anna Lee C. Iijima,
29513,Michael Schachner,@wineschach
29514,Michael Schachner,@wineschach
29515,Michael Schachner,@wineschach
29516,Sean P. Sullivan,@wawinereport
29517,Michael Schachner,@wineschach
29518,Kerin O’Keefe,@kerinokeefe
29519,Joe Czerwinski,@JoeCz
29520,Kerin O’Keefe,@kerinokeefe
29521,Jeff Jenssen,@worldwineguys
29522,Lauren Buzzeo,@laurbuzz
29523,Roger Voss,@vossroger
29524,Roger Voss,@vossroger
29525,Roger Voss,@vossroger
29526,Roger Voss,@vossroger
29527,Joe Czerwinski,@JoeCz
29528,Michael Schachner,@wineschach
29529,Michael Schachner,@wineschach
29530,Roger Voss,@vossroger
29531,Roger Voss,@vossroger
29532,Michael Schachner,@wineschach
29533,Roger Voss,@vossroger
29534,Sean P. Sullivan,@wawinereport
29537,Michael Schachner,@wineschach
29538,Roger Voss,@vossroger
29539,Roger Voss,@vossroger
29540,Roger Voss,@vossroger
29541,Jim Gordon,@gordone_cellars
29542,Sean P. Sullivan,@wawinereport
29543,,
29544,Anna Lee C. Iijima,
29545,Joe Czerwinski,@JoeCz
29546,Lauren Buzzeo,@laurbuzz
29547,Roger Voss,@vossroger
29548,,
29549,,
29550,Roger Voss,@vossroger
29551,,
29552,,
29553,Michael Schachner,@wineschach
29554,,
29555,Lauren Buzzeo,@laurbuzz
29556,Michael Schachner,@wineschach
29578,,
29557,Anna Lee C. Iijima,
29558,,
29559,,
29560,Roger Voss,@vossroger
29561,Michael Schachner,@wineschach
29562,Paul Gregutt,@paulgwine 
29563,Roger Voss,@vossroger
29564,Michael Schachner,@wineschach
29565,,
29566,,
29567,,
29568,Michael Schachner,@wineschach
29569,Michael Schachner,@wineschach
29570,Michael Schachner,@wineschach
29571,,
29572,Michael Schachner,@wineschach
29573,,
29574,,
29575,,
29576,,
29579,Michael Schachner,@wineschach
29580,,
29581,Paul Gregutt,@paulgwine 
29582,Joe Czerwinski,@JoeCz
29583,Michael Schachner,@wineschach
29584,Michael Schachner,@wineschach
29585,Paul Gregutt,@paulgwine 
29586,Roger Voss,@vossroger
29587,Roger Voss,@vossroger
29588,Fiona Adams,@bkfiona
29589,Michael Schachner,@wineschach
29590,Kerin O’Keefe,@kerinokeefe
29591,Roger Voss,@vossroger
29592,Roger Voss,@vossroger
29593,Virginie Boone,@vboone
29594,Jim Gordon,@gordone_cellars
29595,Roger Voss,@vossroger
29596,Roger Voss,@vossroger
29597,Kerin O’Keefe,@kerinokeefe
29598,Virginie Boone,@vboone
29599,Roger Voss,@vossroger
29600,Kerin O’Keefe,@kerinokeefe
29601,Matt Kettmann,@mattkettmann
29602,Mike DeSimone,@worldwineguys
29603,Roger Voss,@vossroger
29604,Jeff Jenssen,@worldwineguys
29605,Roger Voss,@vossroger
29606,Roger Voss,@vossroger
29607,Roger Voss,@vossroger
29608,Roger Voss,@vossroger
29609,Roger Voss,@vossroger
29610,Virginie Boone,@vboone
29611,Michael Schachner,@wineschach
29612,Roger Voss,@vossroger
29613,,
29614,,
29615,Roger Voss,@vossroger
29616,Michael Schachner,@wineschach
29767,Michael Schachner,@wineschach
29617,Joe Czerwinski,@JoeCz
29618,Anna Lee C. Iijima,
29619,,
29620,Michael Schachner,@wineschach
29621,Virginie Boone,@vboone
29622,,
29623,Kerin O’Keefe,@kerinokeefe
29624,,
29625,Michael Schachner,@wineschach
