wine_no,designation,winery
32820,Brut Rosé,Jean-Baptiste Adam
32821,Brut Rosé,Veuve Clicquot Ponsardin
32822,The Insider,Vinum
32823,Brut Rosé de Saignée,Vollereaux
32824,Tarima,Volver
32825,Sonoma Coast Blend,Von Holt
32826,Warrior Reserve,Warre's
32827,Secco,Zanasi
32828,Origin Brut,A. D. Coutelas
32831,Brut Rosé,Montaubret
32832,El Circulo Crianza,Pagos del Rey
32833,Grand Reserve,Piattelli
32834,Limited Production,Silver Spur
32835,Brut Rosé Metodo Classico,Tenuta Roletto
32836,River Pass Vineyard,The Counselor
32837,Grande Réserve Brut,Château de Bligny
32838,Brut Rosé de Saignée,Collet
32839,Quinta do Cardo,Companhia das Quintas
32840,Brut Rosé,G. H. Mumm
32841,,Portlandia
32842,Family Reserve,Joullian
32843,Heritage Reserve,Schug
32844,Alice Vineyard,Tagaris
32845,,Tamarack Cellars
32846,,Le Colture
32847,Clos des Guettes Premier Cru,Henri de Villamont
32848,Gaisberg Riesling,Hirsch
32850,Domaine Latour,Louis Latour
32851,Herrenberg Spätlese,Maximin Grünhäuser
32852,Corte B,Vistalba
32853,,Zina Hyde Cunningham
32854,,Nasiakos
32855,Bandarossa Millesimato Extra Dry,Bortolomiol
32856,,Page Cellars
32857,Alte Reben,Pittnauer
32858,Pannobile,Pittnauer
32859,,Ruca Malen
32860,,Tamarack Cellars
32861,,Three Rivers
32862,,Tintara
32863,Broquel,Trapiche
32864,Les Petites Lolières Premier Cru,Corton André
32865,Fuente Elivra,Pedro Escudero
32866,Impérial,Schloss Halbturn
33117,,Jacuzzi
32867,Koenigsegg Reserve,Schloss Halbturn
32868,,Shaw and Smith
32869,Palette Red Table Wine,JLC
32870,Le Bon Climat Vineyard,La Fenêtre
32871,Les Chouacheux Premier Cru,Louis Jadot
32872,Winemaker's Reserve,Souverain
32873,Ried Liebenberg Smaragd,Josef Jamek
32874,Sémillon-Sauvignon Blanc,Buty
32875,D2,DeLille
32876,Flaccianello,Fontodi
32877,Lorenzo Vineyard,Tandem
32878,Sleepy Hollow Vineyard,Testarossa
32879,White Label,I Balzini
32880,,Walla Walla Vintners
32881,Haute Densité,Château de Tracy
32882,Vinotekfüllung Smaragd,Emmerich Knoll
32883,,Fielding Hills
32884,Le Mura Saracene,Goretti
32885,Weingebirge Smaragd,Nikolaihof
32886,Bien Nacido Vineyard,Ojai
32887,Wösendorfer Hochrain Smaragd,Rudi Pichler
32888,Diana's Reserve,Testarossa
32889,,Cheval des Andes
32890,Ascent,Domaine de la Terre Rouge
32891,Loibner Smaragd Vinothekfüllung,Emmerich Knoll
32892,Le Petit Cheval,Château Cheval Blanc
32893,,Château d'Agassac
32894,Le Dragon de Quintus,Château Quintus
32895,,Domaine de Saint-Guirons
32896,Bar Lazy S Ranch,Foley
32897,Stiling Vineyard,Gary Farrell
32898,Luna Matta Vineyard,Giornata
32899,Oak Ridge Vineyard,Analemma
32900,Blessings,Aver Family Vineyards
32901,,Castelgiocondo
32902,,Château Larose-Trintaudon
32903,Millecento,Castiglion del Bosco
32904,Hayne Vineyard,Nickel & Nickel
32905,,Pietra Santa
32906,Gobelsburger Steinsetz,Schloss Gobelsburg
32907,Kammerner Gaisberg,Schloss Gobelsburg
32908,,Stonestreet
32909,,Strathewen Hills
32910,Les Chenevottes Premier Cru,Louis Latour
32911,MM Reserva Privada,Mas de Monistrol
32912,Clos Bernarde Rosé de 1ère Taille,Meulnart Père et Fils
32913,,Altamura
32914,Roble,Condado de Oriza
32915,Reserva,Costaval
32916,Re:NAISSANCE Merlot-Marselan,Domaine de la Mordorée
32917,Umriss,Feiler-Artinger
32918,Exclusiv,Hans Moser
32919,,Abacela
32920,Pokerville,Karly
32921,Sleepy Hollow Vineyard,Twin Oaks
32922,Fe Ciega Vineyard,Longoria
32923,Crianza,Olvena
32924,Lady of Spain Brut,Paul Cheneau
32925,Founder's Reserve,Sunstone
32926,Bedrock,Riverbench
32927,,Shannon Ridge
32928,,Mastroberardino
32929,Old Vine,Fire Block
32930,,Francis Berwyn
32931,Faustino V Rosado,Bodegas Faustino
32932,1000-Eimerberg Smaragd,Gritsch Mauritiushof
32933,Devon,Antonio Caggiano
32934,,Arrocal
32935,Conde de Valdemar Gran Reserva,Bodegas Valdemar
32936,,Chateau Ste. Michelle
32937,Single Vineyard,Contino
32938,,Courtney Benham
32939,Crane Ranch Vineyard Brodacious,Crane Brothers
32940,The Olive Grove,D'Arenberg
32941,Biesjes Craal,Durbanville Hills
32942,,Pine & Post
32943,,Rietvallei Estate Wine
32944,Chook Raffle,Shoofly
32945,Star Vineyard,St. Clement
32946,Cloudy's Vineyard,Janzen
32947,,Kanonkop
32948,Vendimia Seleccionada,Mauro
32949,Dry Stack Vineyard,Eric Kent
32950,Rubiolo,Gagliole
32951,,Hahn
32952,,Villa Wolf
32953,,Alpha Omega
32954,Riserva,Antico Borgo di Sugame
32955,,Beau Joubert
32956,Lot 108,Cameron Hughes
32957,Cuvée O'Byrne,Château Brande-Bergère
32958,Kit's Killer Cab,Clif Family
32959,Riserva,Collelungo
32960,,Mayro-Murdick
32961,Sincerely,Neil Ellis
32962,Feinherb,Kirsten
32963,Aatto,kukkula
32964,,Lang & Reed
32965,Nikiara,Le Vigne
32966,Old Vine Lopez Ranch,Lorenzi Estate
32967,Réserve,Domaine Weinbach
32968,Bernkasteler Badstube Kabinett,Dr. H. Thanisch (Erben Thanisch)
32969,,Elizabeth Chambers
32970,,Goldeneye
32971,Hattenheimer Schützenhaus Kabinett Trocken,Weingut Hans Bausch
32972,Whole Cluster,Willamette Valley Vineyards
32973,Orquestal,Casa del Valle
32974,Trimarchisa,Tornatore
32975,Dry,Trefethen
32976,Château Lauduc Classic,Vignobles Grandeau
32977,,Villa Raiano
32978,Soulmate,Grey Wolf Cellars
32979,Estate Grown,Grgich Hills
32980,Ancestor Estate Reserve Estate Bottled,Halter Ranch
32981,Olson Vineyard,Joleté
32982,Crianza,Valdelacierva
32983,Esperance Curtis Vineyard,Andrew Murray
32984,,Argyros
32985,Reserva,Marqués de Vargas
32986,Kabinett,Schloss Vollrads
32987,1927 Vines,Tahbilk
32988,Flower & VIne,Casa Dumetz
32989,Brut Nature,Château de Lavernette
32990,,Château Suau
32991,Vieilles Vignes,Domaine Barmès-Buecher
32992,,Château Bélingard
32993,Rivers Ranch,Apsara
32994,El CabRhône,Bodega de Edgar
32995,Bodacious Brunette,Calendar Girl
32996,Lot 348 Field Blend,Cameron Hughes
32997,,Cline
32998,,Annefield Vineyards
32999,Domaine des Perdrix,Domaines Devillard
33000,Gouleyant,Georges Vigouroux
33001,,Lagarde
33002,,Masked Rider
33003,,Old Winery
33004,Reserva,Finca El Origen
33005,Roble,Vallemon de Sardilici
33006,Divino,Vivác Winery
33007,,Santa Barbara Winery
33008,Oak Cask,Trapiche
33009,,Vina Robles
33010,,Hyatt
33011,,Jean Becker
33012,The Devious Woman,JR Wine
33013,Katie Mae Zillah Ranch Vineyard,Kana
33014,,Kuentz-Bas
33015,,Mercer
33016,Wackman Ranch,McConnell Estates Winery
33017,,Montoya
33018,Split Oak Estates Sur Lie,Morro Bay
33019,Signature Selection,Pedroncelli
33020,,Rieutort
33021,Winemaker's Reserve,Souverain
33022,,E. Guigal
33023,Reserve,Trivento
33024,Malbec Reserva,Vila
33025,Ventolera,Viña Litoral
33026,,W. Gisselbrecht
33027,Cerasuolo Rosato,La Valentina
33028,,Lagaria
33029,,Le Drunk Rooster
33030,L de Lyeth,Lyeth
33031,,Lyeth
33032,Sauvignon Blanc,Nittnaus Anita und Hans
33033,Libaio,Ruffino
33034,,Schug
33035,,Simonnet-Febvre
33036,Cerasuolo,Talamonti
33037,Meritage,Tarara
33038,Lo Sbrancato Rosato,Il Poggione
33039,Tower Road,J. Lohr
33040,Rosato di Sangiovese Monte Rosso Vineyards,Muscardini
33041,Reserva Privada,Agustinos
33042,Barricato 40,Bollini
33043,,Leaping Horse
33044,,Leon Beyer
33045,Reserva,Leyda
33046,,Louis Tête
33047,Pedregal Vineyard Rose of,Manzoni
33048,Château Belles Eaux Les Coteaux,Mas Belles Eaux
33049,Rosé,Turkovich
33050,U Estate Grown,Undurraga
33051,Segondine Sacré Coeur,Vignobles Brumont
33052,Pinot del Cerro,Viña Casablanca
33053,Toro de Piedra Grand Reserve,Viña Requingua
33054,Maria Bonita,Wines & Winemakers
33055,,Woodbury
33056,Nationale 7,Xavier Flouret
33057,Reserva de Familia,Santa Carolina
33058,Medalla Real,Santa Rita
33059,,Sarah's Vineyard
33060,Casa Américo,Seacampo
33061,STV Estate Vineyard,Silver Thread
33062,,Sofia
33063,,Summit Lake
33064,,Il Poggione
33065,,Terra Valentine
33066,,Maddalena
33067,Late Harvest,Millbrook
33068,OZV Old Vine,Oak Ridge
33069,,Poiema
33070,Vale de Lobos,Quinta da Ribeirinha
33071,,Quinta de Santiago
33072,Assobio Branco,Quinta dos Murças
33073,,Ex
33074,Reserva,Fernández de Piérola
33075,Grand Klasse Reserve Grenache Lawrence Vineyards,Gård
33076,,Klinker Brick
33077,,La Fusina
33078,Full Monty,Lakewood
33079,Château Peynaud-Bagnac,Les Vignerons Réunis de Monségur
33080,Armi Vineyard,Lyrarakis
33081,Marie's Cuvée,MacLeod
33082,Brut Reserva Extremarium,Mont Marçal
33083,,Pacific Heights Wines
33084,,Prunotto
33085,,Puget Purveyors
33086,,Renwood
33087,,Riché
33088,Southern Blend,Rôtie Cellars
33089,Karia,Stag's Leap Wine Cellars
33090,Evergreen Vineyard,Tempus Cellars
33091,O Rosal Black Label,Terras Gauda
33092,Petite Ruche,M. Chapoutier
33093,Single Vineyard Estate Bottled,Marques de Griñon
33094,,Viña Eguía
33095,Etienne,Château La Dournie
33096,Alma de Cattleya Rose of,Alma de Cattleya
33118,Elegance,Manzanita Creek
33097,Estate Grown Diplomat,Ambassador Vineyard
33098,Rocche dell'Annunziata,Aurelio Settimo
33099,Dionysus Vineyard,Barrister
33100,,Bernardus
33101,Viña Tobía,Bodegas Tobía
33102,Conner Lee Vineyard,Buty
33103,Companhia das Lezírias Catapereiro Tinto,Wines & Winemakers
33104,Salsus Colheita,Wines & Winemakers
33105,Portillo Estate Bottled,Salentein
33106,,Suncé Vineyard & Winery
33107,Cuvée Raphaël,Château de Parenchère
33108,,Château Roquevieille
33109,"Selected Vineyards, Central Coast",Concannon
33110,Finca La Niña,Don Cristobal 1492
33111,Merlot and Pinot Noir 3 liter BIB,Duca del Frassino
33112,Bergkelder Selection,Fleur Du Cap
33113,,Funky Llama
33114,Estate,HammerSky
33115,,J. Keverson
33119,Don David Finca La Urquiza #8,Michel Torino
33120,King Vineyard,Olabisi
33121,,Alente
33122,Postales,Bodega del Fin del Mundo
33123,Made With Organic Grapes,Silvae
33124,,Tommasi
33125,Ella Sofia,Jeff Gordon
33126,Don David Reserve,Michel Torino
33127,East Side Vineyards,Pedroncelli
33128,,Pure Cru
33129,,Zacharias
33130,,Van Duzer
33131,Gorgorito,Bodegas Copaboca
33132,,Casal do Conde
33133,Les Graviers,Château Lastours
33134,Reserva,Creación
33135,Cune,CVNE
33136,Tradition,Domaine Damiens
33137,,Donati
33138,Réserve,Famille Perrin
33139,El Circo Acróbata,Grandes Vinos y Viñedos
33140,Jassarte,Guado al Melo
33141,,Van Duzer
33142,Domaine de Brazalem,Vignerons de Buzet
33143,,Viña Godeval
33144,Made With Organic Grapes,Paso a Paso
33145,,Rebusity
33146,,Root:1
33147,Reserva Espiritu de Los Andes Estate Bottled,Santa Alicia
33148,Roble,Torre Castillo
33149,,Treasure
33150,Reserva,Tricky Rabbit
33151,,Acumen
33152,Lagone,Aia Vecchia
33153,,Domaine de Millet
33154,Gran Reserva,Cataregia
33155,,Cota 585
33156,Elacaia,I Veroni
33228,Crianza,Lealtanza
33157,Cuvée Alexandre Atalayas Vineyard,Lapostolle
33158,J.D. Hurley,Martin Ranch
33159,,Château Armandière
33160,Bélingard,Château Bélingard
33161,Riserva,Citille di Sopra
33162,Les Polissons,Clos d'Audhuy
33163,Cengelle,Corte Mainente
33164,Derby Vineyard,Derby
33165,La Fleur Lily,Domaine de Grange Neuve
33166,Cuvée Pierres Rouges,Domaine Laurens
33167,,Estancia
33168,,Estancia
33169,,Excelsior
33170,Encontro Q do E Merlot-Baga,Global Wines
33171,Finca Rableros Crianza,Bodega Otto Bestué
33172,,Delaire Graff
33173,,Protea
33174,Le Colonel North Creek Vineyards,Hudson-Chatham
33175,,Léon Perdigal
33176,,Verbena
33177,Wanted: Red Dirt,Vinum
33178,,Vinum
33179,Azul Portugal,Wines & Winemakers
33180,Honey Pie,Woodstock Collection
33181,,Durbanville Hills
33182,Crianza,Enate
33183,Reserve,Frei Brothers
33184,Finca Santa Sabina,Bodega Otto Bestué
33185,Molino del Piano,Bonacchi
33186,Crawford Vineyard,Camaraderie
33187,Gualto,Camigliano
33188,,Camp
33189,High Elevation,Shannon Ridge
33190,Goosepen Block,Sokol Blosser
33191,Estate Bottled,Spring Mountain Vineyard
33227,,Lagarde
33192,Côtes de Tablas Estate Grown & Bottled,Tablas Creek
33193,Exubera,Terre de la Custodia
33194,Reserve,Wildhurst
33195,,WillaKenzie Estate
33196,Ellie's,Hall
33197,,Carnivor
33198,,Alta
33199,Saralee's Vineyard,Arrowood
33200,Sommerhalde Erste Lage R GG,Bernhard Huber
33201,Estate Grown,Brandlin
33202,The Count's Selection,Buena Vista
33203,La Mattonara Riserva,Zymè
33204,Llanos del Almendro,Dominio de Atauta
33205,Brune et Blonde,E. Guigal
33206,Santa Rosa,Enrique Mendoza
33207,Motto Piane,Fattori
33208,,Iris Vineyards
33209,Regium Brut,La Valle
33210,Doña Margarita Vineyard Mas Cavalls Unfiltered Estate Grown & Bottled,Marimar Estate
33211,Don Miguel Vineyard Estate Grown & Bottled,Marimar Estate
33212,,Chateau Couronneau
33213,,Rocca di Fabbri
33214,Terrassen Federspiel,Tegernseerhof
33215,Gaudio,Tenuta Le Velette
33216,Vento,Terre di Talamo
33217,Tinhof Noir,Tinhof
33218,Tolentino Winemaker's Selection,Bodega Cuarto Dominio
33219,Gran Reserva,Vila
33220,Whole Cluster,Willamette Valley Vineyards
33221,,Clos du Val
33222,D'Amare,Diadema
33223,Clasico,Gauchezco
33224,Recumbent,Gresser
33225,,Guenoc
33226,Reserve,Finca Sophenia
33229,Legacy,Salena Estate
33230,El Tractor,Villa Atuel
33231,Reserve,Angeline
33232,,Alberti 154
33233,,Tinhof
33234,Viña Zorzal,Zorzal
33235,,Hoyt Family Vineyards
33236,Dylema,Hoyt Family Vineyards
33237,C.S. Ridge Vineyard,Kunde
33238,Coiron,Palo Alto
33239,505,Casarena
33240,Spätburgunder Rosé Sekt Brut,Peter Jakob Kühn
33241,Cuvée Fleuron Premier Cru Blanc de Blancs Brut,Pierre Gimonnet et Fils
33242,Pure Extra Brut,Pol Roger
33243,John Sebastiano Vineyard,La Montagne
33244,Cuvée Brut Rosé,Laurent-Perrier
33245,Garys' Vineyard,Testarossa
33246,Horseshoe Bend Vineyard,Davis Family
33298,L'Allégresse,Château Bellevue la Forêt
33247,Erdener Prälat Goldkap Auslese,Dr. Hermann
33248,,Evening Land
33249,Murphy's Choice,Clos La Chance
33250,Gap's Crown Vineyard,Fulcrum
33251,Limited Selection,Gainey
33252,Poruzots Premier Cru,Olivier Leflaive
33253,Madrigal,Quinta do Monte d'Oiro
33254,Villa de Corullón,Descendientes de J. Palacios
33255,Vaillons Premier Cru,Domaine Louis Moreau
33256,Tango Estate Reserve,Dominio IV
33257,Donnelly Creek Vineyard,FEL
33258,Five Mountain,Elk Cove
33259,Blanc De Blanc,Equinox
33260,Col de la Bastia,Fattori
33261,Ashley's,Fess Parker
33262,Proemio,Santi
33263,McClellan Estate Vineyard Reserve,Seven Hills
33264,Mont de Milieu Premier Cru,Simonnet-Febvre
33265,Porrera Vi de Vila,Vall Llach
33266,,Huber
33267,Les Damodes Premier Cru,Jean-Luc and Paul Aegerter
33268,Corton Charlemagne Grand Cru,Jean-Luc and Paul Aegerter
33269,Vaulorent Premier Cru,La Chablisienne
33270,On l'appelle,Château Coutinel
33271,,Château Flotis
33272,Le Rosé de Julie,Château Lagrézette
33273,Contraste Tinto,Conceito Vinhos
33274,,Corner 103
33275,Dante's Inferno,Dante Robere
33276,Novecento Riserva,Dievole
33277,Cuvée des Drilles,Domaine d'Escausses
33278,Bramosia,Donna Laura
33279,Estate,EOS
33280,Lenzi Riserva,Fattoria di Petroio
33281,Pommard Clone,Fess Parker
33282,,Fonte alla Selva
33283,Barón de Lajoyosa Gran Reserva,Ignacio Marín
33284,Botani,Jorge Ordóñez & Co.
33285,,Torii Mor
33286,,Valdipiatta
33287,Pioneer Label,Valley View
33288,,Bibbiano
33289,Prugnolo,Boscarelli
33290,Estate,Buehler
33291,,Casa Ermelinda Freitas
33292,,Castello di Meleto
33293,deb-ru-vée,Longevity
33294,Niersteiner Gutes Domtal Spätlese,Gustav Adolf Schmitt
33295,Teso Blanco,La Zorra
33296,Reserva Sepia,Vistamar
33297,Vigna Cavarchione,Istine
33299,Reserva Estate Bottled,Chilensis
33300,Rosé,Feiler-Artinger
33301,Parallèle 45,Paul Jaboulet Aîné
33302,,Truchard
33303,,J. Jacaman
33304,,La Pisara
33305,,Louis Latour
33306,,Maddalena
33307,Bleu Saphir,Millésimé
33308,Late Harvest,Navarro
33309,,Vitis Terrarum
33310,Sunset,Beach Head
33311,Estate Vineyard,Handley
33312,Nationale 7,Xavier Flouret
33313,Faristol,Covilalba
33314,,Condado de Oriza
33315,,Conti Zecca
33316,,Hauck
33317,,Borgo di Colloredo
33318,,Cantine Elmi
33319,,Casa Rondeña Winery
33320,Saó,Celler La Bollidora
33321,Levanter,Villa Vignamaggio
33322,Duet,Hopkins Vineyard
33323,J-W,Jasper
33324,Añada,Lar de Paula
33325,Estate,Laura's Vineyard
33326,,Macchialupa
33327,Sentido,Neo
33328,,Praxis
33329,,Sonoma Creek
33330,Estate Bottled,Silver Mountain
33331,,Artezin
33332,Libertad Vineyards,Benegas
33333,Melange,Bink
33334,Taja,Bodegas Mähler-Besse
33335,,Carlos Basso
33336,Tintico,Castillo de Monjardin
33697,Bric du Luv,Ca' Viola
33337,Selección,Cueto
33338,Red Velvet,Hunt Cellars
33339,,Koutsoyiannopoulos
33340,Zios de Lusco,Lusco
33341,,Madrigal
33342,Rosé,Château Coudray Montpensier
33343,,Dahlia
33344,Red Wine,Dionysos
33345,,Louis Tête
33346,,McManis
33347,,Roche
33348,ZB Bien Nacido Vineyard,Kynsi
33349,The Augur Kick On Ranch Vineyard,j.brix
33350,1149 Rosé of,Jada Vineyard & Winery
33351,Will Jarvis' Science Project,Jarvis
33352,Rayhill Vineyard,Landmark
33353,Camp Romain,Laudun Chusclan
33354,La Folle Noire d'Ambat,Le Roc
33355,,Licia
33356,Lia's Vineyard,Longplay
33357,Chiquita Pinot Noir,Lumos
33358,Sorel,Nera
33359,Grumello Tirso,Nera
33360,,Hinman
33361,Zardoz,Indomita
33362,Kabinett,Johannes Kunz
33363,Cinq Cépages,Laudun Chusclan
33364,Piesporter Goldtröpfchen Spätlese,Leonard Kreusch
33365,Reserva,Maray
33366,Kallisti Reserve,Boutari
33367,Silver Pines Vineyard,Bailiwick
33368,,Belle Ambiance
33369,Summit 2900,Bodega Volcanes de Chile
33370,Il Blu,Brancaia
33371,Château la Bastide,Cave du Marmandais
33372,Château la Bastide,Cave du Marmandais
33373,Les Carrals,Chateau Quattre
33374,Sonoma Estates,Chateau St. Jean
33375,Mercury Rising,Cinnabar
33376,,Claudia Papayianni
33377,Reserve,Courtney Benham
33378,Tradition,Domaine de Cause
33379,Don Giaroli,Hollen Family Vineyards
33380,Malbec-Merlot-Cabernet Sauvignon,Trapezio
33381,Crianza,Viña Decana
33382,,Corazón Verde
33383,Agostón Garnacha-Cabernet,Bodegas Paniza
33384,Bucher Vineyard,Williams Selyem
33385,Malleolus de Valderramiro,Emilio Moro
33386,Signature Series,Darioush
33387,Clos Saint Urbain Rangen de Thann Grand Cru,Domaine Zind-Humbrecht
33388,Original Vines Estate,The Eyrie Vineyards
33389,Édition Limitée,Domaine Drouhin Oregon
33404,Goldert Grand Cru,Domaine Zind-Humbrecht
33390,Drake Estate Vineyard,Williams Selyem
33391,Signature Series,Darioush
33392,Édition Limitée,Domaine Drouhin Oregon
33393,Contrada R,Passopisciaro
33394,Shea Vineyard Homer,Shea
33395,Williams Selyem Estate Vineyard,Williams Selyem
33396,von der Fels,Weingut Keller
33397,Rochioli Riverblock Vineyard,Williams Selyem
33398,Old Vine,Sineann
33399,Cuvée des Seigneurs de Ribeaupierre,Trimbach
33400,Ramos Vineyard,Hanzell
33401,Hirsch Vineyard,Williams Selyem
33402,Contrada P,Passopisciaro
33403,Allen Vineyard,Williams Selyem
33442,,Porto Carras
33405,La Colline Single Vineyard,Laetitia
33406,Quattroenne,Le Casematte
33407,Rubrica,Luis Duarte
33408,,Paul de Albas
33409,Orient,Kontokosta
33410,Oak Canyon Ranch,Trotter 1/16
33411,Harvest Moon,Williamson Vineyard
33412,Reserve Morris Vineyard,Heron Hill
33413,,Huston
33414,Spicer Vineyard,J. Moss Wines
33415,Rubiolo,Gagliole
33416,Single Vineyard,3 Horse Ranch Vineyards
33417,Riserva,Brunelli Martoccia
33418,Marteto,Bruni
33419,,Campinuovi
33420,Estate,Rooster Hill
33421,Yantra,Tenuta Sette Cieli
33441,,Osprey's Dominion
33422,Estate Mae's Block Ravazzi Vineyard,Jaxon Keys
33423,Hospices de Belleville,Joseph Drouhin
33424,Dry,Lamoreaux Landing
33425,,Lamoreaux Landing
33426,Reserva,Leyda
33427,,Luke Donald
33428,Bel Nero,Banfi
33429,Freiberg,H. & M. Hofer
33430,Château des Labourons,Henry Fessy
33431,,Bruni
33432,,Buck Shack
33433,Unravelled,Carrick
33434,Corbaia,Castello di Bossi
33435,Chamodère,Domaine les Capréoles
33436,Rector Creek Vineyard,Duckhorn
33437,,Franciscan
33438,Flower Label,Georges Duboeuf
33439,,Nemeion Estate
33440,,Novelty Hill
33443,Willow Creek Farm Rose of,Proulx
33444,Pacheca Colheita,Quinta da Pacheca
33445,Dry,Red Newt Cellars
33446,1865 Single Vineyard,San Pedro
33447,,Sand Point
33448,Nicole Marie,Sean Minor
33449,Estate Bottled,Sheldrake Point
33450,R&V Sleepy Hollow Vineyard Late Harvest,Talbott
33451,Evergreen Vineyard,Tempus Cellars
33452,,Le Ragnaie
33453,Reserve,Lieb
33454,Réserve Saint Jean,Marcel Hugg
33455,,McManis
33456,,Novelty Hill
33457,Stillwater Creek Vineyard,Novelty Hill
33458,Ivy Rosé of,Pech Merle
33459,,Sketchbook
33460,,Stéphane Aviron
33479,Santa Margarita Ranch,Ancient Peaks
33461,Vin Doux Naturel Hors d'Age 6 Ans,Terrassous
33462,,Allimant-Laugner
33463,,Hatzimichalis
33464,Lefkos,Hatzimichalis
33465,,Idilico
33466,Klipsun Vineyard,Januik
33467,Ripanço Private Selection,José Maria da Fonseca
33468,Estate Vineyard,Kenwood
33469,Ciabot Camerano,Marcarini
33470,,Mirus
33471,,Mocali
33472,,Neethlingshof
33473,Cottontop,Newhouse Family
33474,,Robert Renzoni
33475,,Rocca di Frassinello
33476,Hot to Trot,14 Hands
33477,Réjouissant,Ancestry
33478,Reunion,Ancestry
33480,,Anew
33481,,Barrel Racer
33482,Estate St. Helena Vineyard Rosato di,Benessere
33483,Sawmill Creek Vineyards,Billsboro
33484,Conde de Alicante,Bocopa
33485,,Brady Cellars
33486,,Château de Ricaud
33487,,Château du Grand Pierre
33488,Bussia Vigna dei Fantini,Silvano Bolmida
33489,Bushvine,Stellenbosch Vineyards
33490,Sophia Lynn Estate,Summit Lake
33491,Bussia,Tenimenti Famiglia Cavallero
33492,,The Prisoner
33493,,Château Moya
33494,,Château Puygueraud
33495,Cedar Lane,Chesebro
33496,,Closerie du Bailli
33497,Rosé of,Cosa Obra
33498,The Chard,Cosentino
33499,L de Flotis,Château Flotis
33500,Mitsuko's Vineyard,Clos Pegase
33501,Serie Riberas Gran Reserva Ribera del Rapel,Concha y Toro
33502,,De Alberto
33503,Classic,Domaine du Tariquet
33504,,Château Grande Cassagne
33505,,Domaine de la Petite Cassagne
33506,,HandCraft
33507,Moro Rosso,Il Palazzo
33508,Duette Premium,Indomita
33509,Albacea,Juan Gil
33510,Pinot Noir Brut Rosé,Juvé y Camps
33511,,Kudos
33512,Reserva Estate Bottled,Luma Chequén
33513,,Melrose
33514,Limited Reserve Barrel Aged,Millaman
33515,,Mont Gravet
33516,Les Tortues,Domaine Uby
33517,No. 8 Merlot-Syrah,Domaine Uby
33518,,Estancia
33519,Organic,Frey
33520,Vineyard Select,Gresser
33521,,Griffin Creek
33522,Nutaru Rosé Metodo Classico,Avide
33523,Legado del Fraile,Bodegas Aquitania
33524,Vendimia Seleccionada Blanco,Bodegas Muriel
33525,Reserva,Calcu
33526,Reserva,Casal do Conde
33527,Symmetry,Rodney Strong
33528,Orchidea,Inurrieta
33529,,Upland Estates
33530,,Carrick
33531,Estate Bottled,Cedarville Vineyard
33532,Noà,Cusumano
33533,Cuvée Guy Moreau Vaillon Premier Cru,Domaine Christian Moreau Père et Fils
33534,Fourchaume Premier Cru Vieilles Vignes,Domaine Vrignaud
33535,Les Vaupulans Fourchaume Premier Cru,Domaine Vrignaud
33536,Mont de Milieu Premier Cru,Domaine Vrignaud
33537,Estate Grown,J Vineyards & Winery
33538,,Jaffurs
33539,Syrafina Estate Grown,Montemaggiore
33540,Vaudésir Grand Cru,Olivier Leflaive
33541,,Planeta
33542,Boushey Vineyard,Ross Andrew
33543,Sagemoor Vineyards Reserve,Tamarack Cellars
33544,Estate,Tranche
33545,Reserva,Valenciso
33546,Malhadinha Branco,Herdade da Malhadinha Nova
33547,Reserva,Herdade de São Miguel
33548,Alden Perry Reserve,Yates Family Vineyard
33549,Mesa Reserve,Zaca Mesa
33550,,Clos Pegase
33551,Quinta das Tecedeiras Reserva,Dão Sul
33552,La Cruz Vineyard,Keller
33553,,Kim Crawford
33554,White,Left Coast Cellars
33555,,Leonard Kreusch
33556,Morelli Lane Vineyard,Lost Canyon
33557,Caractère Rosé Brut,Marie Copinet
33558,Marques de Gelida MIM Natura Brut Reserva,Marqués de Gelida
33559,Il Soller Extra Dry,Marsuret
33560,Extra Dry,Masottina
33561,Reserve,Materra Cunat Family Vineyards
33562,Blue Quail,McFadden
33563,Mirabelle Brut Rosé,Mirabelle
33564,Come des Tallants Zéro Dosage,Piollot Père et Fils
33565,Stefany Extra Dry,Pizzolato
33566,Silver Linings Pinot Noir,Rainstorm
33567,,Renwood
33568,Gran Cuvée Reserva,Segura Viudas
33569,Brut,Sorelle Bronca
33570,Beyond Ordinary,Spier
33571,,Stephen Ross
33572,Sul Lievito,Adami
33573,Extra Dry,Althéa
33574,Arzanà Dry,Astoria
33575,Carte Blanche Brut,Bernard Remy
33576,Manu,Bird
33577,Micaela Amontillado,Bodegas Barón
33578,Gaiante,Borgoluce
33579,Ius Naturae Organic Brut,Bortomiol
33580,Reserve,Canoe Ridge
33581,Tsarine Cuvée Premium Brut,Chanoine
33582,Riserva,Querciavalle
33583,Ventaio,Terre di Fiori
33584,Tempo,Terre di Talamo
33585,Reserve,Hermann J. Wiemer
33586,Riserva,Villa Travignoli
33587,Sha'al Single Vineyard Late Harvest Kosher - 375 ml,Carmel
33588,Porpora Riserva,Fattoria di Casalbosco
33589,Il 500,Fattoria Zerbina
33590,Yarden Ortal Vineyard Kosher,Golan Heights Winery
33591,Barrel Selection,Waimea
33592,Castello di Montepò,Jacopo Biondi-Santi
33593,Merlot-Shiraz Kosher,Shiloh Winery
33594,Riserva,Suberli
